Fecha,BMV: AC *,BMV: ALSEA *,BMV: AMX L,BMV: ASUR B,BMV: BIMBO A,BMV: CEMEX CPO,BMV: FEMSA UBD,BMV: GMEXICO B,BMV: GRUMA B,BMV:OMA B,BMV:WALMEX *,BMV:AUTLAN B,BMV:GISSA A,BMV: Bachoco B,BMV:VITRO A,BMV: GAP B,BMV:GFNORTE O,BMV:HERDEZ *,MXN
8/24/2012,81.05,18.44,16.85,112.89,30.66,8.72065,109.8,41.05,36.3,29.36,36.01,13.16832,16.1,25,16.4,52.41,68.32,31.4,1
8/31/2012,82.71,18.8,16.85,111.33,29.4,8.09598,111.01,39.16,35.89,28.3,35.32,13.17822,16.2,24.6,16.2,52.08,67.22,31.28,1
9/7/2012,83.1,18.35,16.77,113.55,30.4,8.60558,112.23,41.6,33.88,27.83,35.73,13.59406,16.98,25.16,16.2,53.8,68.61,31.9,1
9/14/2012,89.92,18.78,16.4,112.13,30.96,8.72886,115.68,43.3,35.32,28.13,36.76,14.15842,20.1,25.01,15.6,52.5,71.9,32.05,1
9/21/2012,91.3,18.67,16.3,109.5,30.89,8.94256,118.05,41.5,35,28.73,36.71,14.45545,20.5,24.8,15.7,51.29,69.8,33.3,1
9/28/2012,91.16,19.95,16.4,113.5,32.01,8.7864,118.7,42.5,36.37,28.85,36.14,14.23762,20.2,25.54,15.65,54,72.75,33.06,1
10/5/2012,95.39,20.42,16.88,119.08,32.17,9.53435,121.55,42.98,37.7,29,36.9,13.33663,20.2,25.36,16.05,54.36,77.52,34.6,1
10/12/2012,98.12,21.4,16.62,116.94,31.45,9.33709,119.65,41.64,36.51,28.75,37.73,13.28713,20.3,25.55,16.01,55.5,76.85,35.15,1
10/19/2012,103.38,21.91,16.97,127.2,32.57,9.47682,123.1,41.68,37.91,29.91,39.06,13.34653,21,25.8,16.51,60.13,73.68,35.95,1
10/26/2012,95.82,20.71,16.7,129.4,32.22,9.66586,119.22,41.96,38.5,31.21,38.71,13.37624,23,27.82,17,60.94,72.26,35.8,1
11/2/2012,95.51,21.48,16.56,128.33,31.77,10.05217,118.18,42.29,38.09,31.3,38.66,13.29703,23.45,28.12,19.1,62.13,73.45,35.51,1
11/9/2012,94.6,20.65,15.7,137,30.53,9.38641,116.7,40.86,36.82,30.35,38.31,12.81188,23.2,28.37,18.95,64.49,70.67,36.02,1
11/16/2012,94.39,20.14,15.31,131.51,31.22,9.27134,122.14,40.35,36.2,29.7,39.35,12.85149,23.4,27.25,17.52,64.4,71.99,35.7,1
11/23/2012,96.03,21.03,15.7,134.8,31.21,9.71518,126.4,42,37.51,30.5,40.18,12.73267,23.3,28.11,17.9,64.81,74.04,35.92,1
11/30/2012,93,22.52,15.26,131.8,30.45,9.4686,126.48,42.21,36.44,32.5,40.51,12.62376,23.51,27.6,17.01,66.13,73.86,36.23,1
12/7/2012,96.9,23.95,14.79,138.5,31.18,9.58367,128.01,45.57,37.11,35.93,42.82,12.46535,23.44,28.31,16.8,68,79.2,35.95,1
12/14/2012,95.03,24.78,15.15,144.38,31.81,9.65764,125.83,45.05,38.8,36.5,42.1,12.63366,24,29.6,16.21,69.14,81.56,38.28,1
12/21/2012,95.1,25.01,14.99,143.34,32.41,10.38916,128.64,46.97,38.82,35.92,41.95,13.36634,23.51,28.5,15.92,72.85,81.4,39.43,1
12/28/2012,95.68,25.54,14.98,145.08,32.65,10.38094,130.22,46.7,39.25,34.96,42.28,13.30693,23.55,29.8,16.27,73.05,83.37,39.5,1
1/4/2013,96.75,27.05,15.43,153.83,34.17,10.82478,129.4,48.93,39.75,37.19,41.62,13.26733,24.55,28.95,16.65,74.5,83.8,40.77,1
1/11/2013,95.86,28.4,15.51,151.36,32.63,10.90697,133.74,47.44,42.56,38.19,41.91,14.0396,25.3,29.5,18.7,75.08,84.94,40.72,1
1/18/2013,95.77,28.88,15.54,152.58,32.88,10.7919,135.05,49,43.87,39.9,41.33,13.81188,27.5,29.16,18.95,77.58,89.38,40.01,1
1/25/2013,95.8,28.6,15.85,152.75,33.31,11.17821,138.23,49.7,43.35,40.07,41.01,13.56436,27.02,29.06,18.4,78.61,89.4,39.73,1
2/1/2013,96.37,29.38,16.18,152.06,32.92,11.35903,139.79,48.82,42.3,43.35,41.76,13.81188,30.45,29.21,20.54,79,87.62,40.18,1
2/8/2013,93.93,28.2,15.97,150.45,31.59,10.89875,138.85,49.25,41.72,43.03,41.18,13.17822,30.01,29.91,21.61,78.91,87.85,39.53,1
2/15/2013,93.21,29.95,14.25,153.41,32.93,11.40013,140.31,49.38,41.38,43.05,41.74,12.27723,30,30.91,25.95,79.96,86.9,38.54,1
2/22/2013,93.51,30.76,13.95,159.85,33.38,10.84944,144.92,49.5,43.21,42.36,39.34,12.55446,30.18,31.91,28.75,79.69,89.68,40.1,1
3/1/2013,95.73,32.14,13.34,166.67,34.69,11.53985,139.9,50.86,44.81,44.44,39.79,11.16832,30.18,31.73,31.6,78.49,92.62,39.3,1
3/8/2013,94.5,32.52,13.59,169.51,35.46,12.37822,138.82,50.64,47.78,44.55,39.9,10.94059,30.05,31.63,35,77.8,90,40.25,1
3/15/2013,92.24,32.2,11.62,162.6,34.5,12.71521,139.12,51.61,52.17,46.34,38.12,10.77228,28.9,33.4,29.7,67.84,98.25,42.37,1
3/22/2013,90.8,32.31,12.57,165.2,36.62,12.42754,133.02,49.22,56.33,46.37,38.5,10.58416,28,33.9,30.03,69.14,95,42.89,1
3/29/2013,92.55,35.48,13.09,167.82,39.49,12.35356,138.97,49.89,54.61,49.85,40.4,10.77228,28.7,32.92,30.85,72.82,98.68,45.4,1
4/5/2013,99.68,37.19,12.33,170.4,38.95,12.41932,143.07,48.1,53.49,52.25,39.46,10.70297,28.4,33.87,28.85,80.06,90.99,44.26,1
4/12/2013,98.82,36.93,12.67,165.1,38.84,12.14808,150.94,49.08,53.32,51.3,39.4,10.52475,28,32.57,29.39,76.96,96,44.5,1
4/19/2013,101.15,36.82,12.44,165.64,40.5,11.4741,149.03,41.9,53.75,47.8,39.05,9.88119,28,33.29,28.5,69.3,95.1,43.8,1
4/26/2013,96.23,37.34,12.58,144.98,40.21,11.97581,139.1,42.5,63.06,47.12,38.34,10.60396,27.7,34.5,29,66.87,90.04,45.49,1
5/3/2013,101.51,35.84,13.23,143.42,39.22,12.28353,142.25,43.54,59.8,45.24,38.73,11.38614,27.81,34.2,28.01,68.15,90.05,43.16,1
5/10/2013,101.01,35.45,12.8,141.58,37.99,12.4203,139.37,42.25,64,48.39,36.34,11.78218,27.65,34.6,29.2,68.06,89.91,43.31,1
5/17/2013,103.88,35.97,12.76,144.52,37.54,13.00157,142.38,41.22,60.35,46.7,36.5,11.69307,27.4,35.32,28,67.33,91.31,42.1,1
5/24/2013,99.42,33.9,12.55,144.95,36.12,12.26644,134.36,39.29,59.83,44.61,37.07,10.52475,27.14,36.61,26,66.93,86.25,39.7,1
5/31/2013,100.56,35.82,12.82,152.87,37.69,12.61691,138.63,42.25,57,45,37.6,10.75248,26.6,36.78,26.81,67.4,81.39,39.96,1
6/7/2013,97.65,33.71,12.89,146.79,36.8,11.94161,132.58,39.95,56.08,44.03,36.31,10.82178,26.85,36.09,27.01,63.93,82.96,41.1,1
6/14/2013,98.65,33.36,12.79,142.91,36.4,11.36889,128.38,36.93,57,39.35,36.24,9.62376,26.8,35.75,26,58.51,75.26,38.53,1
6/21/2013,93.7,29.54,12.68,137.64,35.06,11.15519,122.21,35.52,59.03,38,34.95,8.29703,26,34.91,25.98,57.88,72.01,39.28,1
6/28/2013,99.03,30.7,14.09,144.01,39.11,11.71936,133.9,37.45,58.9,42.16,36.3,8.17822,27.37,36.99,26.56,65.66,76.91,41.17,1
7/5/2013,97.67,32.8,13.8,150.01,39.28,11.65098,134.37,38.55,59.57,41.97,36.91,8.29703,26.75,38.35,25.72,63.52,73.91,41.79,1
7/12/2013,95.51,32.06,13.7,146.8,40.2,12.37756,131.4,38.7,59.03,41.15,36.02,8.61386,27.17,41.7,26,65.51,72.31,40.36,1
7/19/2013,94.08,34.26,13.07,141.05,40.71,12.17241,126.8,39.59,59.31,40.82,35.15,8.0099,27,43.27,25.41,62.95,82.01,40.15,1
7/26/2013,98.22,36.05,13.71,151.05,43.76,12.64255,127,39.25,64.75,44.74,35.86,7.37624,26.15,42.43,22.9,65,81.09,41.51,1
8/2/2013,99.28,35.99,13.34,157.1,45.4,12.899,132.17,41.35,68.83,44.9,35.51,8.23762,26,43.92,25.05,71.58,84.7,42.96,1
8/9/2013,96.05,37.11,13.24,159.18,45.87,13.12124,133.79,42.32,69.96,48.47,35.11,7.91089,25.39,44.5,25.51,71.25,89.47,44.6,1
8/16/2013,92.05,35.01,13.27,151.96,42.67,13.3264,126.11,43.96,67.46,45.41,35.6,7.75248,24.75,43.69,27.37,69.38,83.56,44.93,1
8/23/2013,90.12,33.87,13.03,148.32,40,13.45462,126.57,42,70.93,46.53,34,7.26733,24.72,43.86,29.21,67.29,82.61,44.49,1
8/30/2013,85.43,33.73,12.9,149.11,38.5,12.77077,125.8,38.05,68.7,45.41,32,7.0297,22.5,42.4,28.8,66.58,82,42.3,1
9/6/2013,84.61,34.06,12.73,149.43,38.91,12.80497,130.36,38.73,73.71,45.59,32.21,7.42574,22.5,41,29.72,68.85,80.8,43.47,1
9/13/2013,88.24,35.35,13.19,148,41.77,12.95883,130.99,39.87,73.62,45.24,34.73,7.82178,22.8,43.83,28.02,67.66,83.4,43.26,1
9/20/2013,88.2,35.35,12.89,149.64,40.76,12.96738,132.7,42.12,71.63,43.8,34.58,8.61386,22.61,43.66,29.3,66.66,84.91,44.95,1
9/27/2013,85.79,36.8,13.21,146.32,41.2,12.69384,128.92,40.32,73.31,44.78,34.9,10.10891,22.69,42.51,29.5,68.03,81.71,44.6,1
10/4/2013,83.92,37.25,13.36,149.01,41.7,12.75368,128.84,39.83,76.88,45.52,33.07,10.23762,21.45,42.08,29.69,69.01,84.8,44.77,1
10/11/2013,82.29,41.3,13.69,152.67,42.38,12.03564,125.13,41.92,79.33,45.87,34.25,8.88119,22.8,44.06,29,69.99,81.73,44,1
10/18/2013,79.77,39.61,13.8,151.33,40.8,11.83049,120.01,41.05,80.18,44.17,34.14,9.20792,21.9,43.78,29.48,68.12,82.51,43.66,1
10/25/2013,78.5,39.97,13.58,157.65,43.15,12.33482,121.51,41.49,84.37,42.95,33.82,9.09901,21.5,43.54,28.5,69.29,82.7,43.2,1
11/1/2013,77.81,41.05,14.08,158.79,43.39,11.74501,122.55,41.66,89.61,44.46,34.12,9.0297,22,44,29.6,68.51,82.95,45.4,1
11/8/2013,75.2,39.24,13.79,155.61,41.52,11.69372,118.82,39.83,88.46,43.25,32.52,8.91089,22.3,44,29.97,65.77,81.15,44.42,1
11/15/2013,75.19,40.4,14.3,167,42.45,12.06983,122.21,38.98,91.2,42.85,33.63,8.92079,22.45,44.7,29.95,65.8,84.36,44.75,1
11/22/2013,80.78,38.66,15.04,162.66,40.64,11.83049,119.01,38.91,91.66,43.35,33.59,8.86139,22.9,43.5,28.85,65.4,84.64,44,1
11/29/2013,82.02,39.48,15.12,173.74,40.8,12.33482,125.98,38.9,91.95,44.93,34.73,8.81188,23.4,43.11,29.4,68.6,89.06,45.64,1
12/6/2013,81.5,39.85,14.4,171.01,40.65,12.73658,120.91,39.68,91.1,45.41,34.81,9.65347,23.65,43.45,30,70.4,91.3,45.8,1
12/13/2013,82.76,39.75,14.38,167,38.49,12.62546,122.02,40.35,95.46,44.35,34.23,9.94059,23.7,44.5,31.82,68.41,94.18,44.62,1
12/20/2013,78.07,40.6,14.7,169.25,38.64,12.95883,124.66,43.34,97.5,43.63,34.27,9.62376,23.01,43.97,30.16,68.23,90.32,43.11,1
12/27/2013,80.93,40.27,15.26,163.17,39.73,13.0956,127.41,43.25,97.97,44.19,34.16,9.86139,23,43.66,31.31,68.66,89.99,47.12,1
1/3/2014,80.22,40.78,14.84,153.8,38.6,12.8819,123.21,42.3,103.49,43.56,33.24,9.86139,23.5,44.65,32.5,66.08,91.78,47.13,1
1/10/2014,79.29,42.47,14.31,152.34,36.5,13.94185,125.88,43.26,104.16,44.08,33.45,10.0495,23.01,50,33.31,70.52,93.09,47.49,1
1/17/2014,75.8,42.42,14.44,152.71,36.12,14.13846,123.03,43.33,106.17,44.72,32.71,10.60396,23.5,49.14,32.05,70.01,90.37,45.51,1
1/24/2014,73.29,40.45,14.22,153.76,34.5,14.24104,121.35,41.6,105.34,42.25,31.65,10.60396,23.6,47.7,32.5,70.91,89.4,44.2,1
1/31/2014,73.51,39.88,14.26,150.53,35.68,14.10427,120.64,43.14,108.95,41.09,31.96,10.40594,24,47,32.5,72.35,84.42,41.76,1
2/7/2014,70.82,37.72,14.19,146.11,35.26,14.57441,121.07,43.68,106.4,42.12,29.76,9.41584,24.05,45.54,32.5,70.17,85.74,39.14,1
2/14/2014,72.64,41.71,14.07,145.96,35.55,14.74537,119.88,44.02,107.81,43.29,30.65,10.62376,24.8,47.24,32.5,71.06,86.61,39.92,1
2/21/2014,72.5,41.19,13.35,142.26,35.05,15.00181,117.78,41.77,107.49,41.65,28.7,10.44554,25.05,46.71,32.5,69.81,87.52,39.6,1
2/28/2014,69.34,40.9,12.82,147.5,34.54,14.81376,113.5,40.63,104.82,40.81,27.99,10.37624,25,46.1,30,71.07,85.9,34.77,1
3/7/2014,71.54,40,12.95,154.21,34.71,14.63425,111.84,40.27,108.66,42.4,29.19,10.70297,25.65,47.56,32,69.26,83.47,35.9,1
3/14/2014,74.5,41.32,13.1,147.72,32.5,13.63413,109.72,37.31,106.56,44.26,28.7,10.59406,24.6,47,31.11,70.55,80.7,34.54,1
3/21/2014,76.08,47.26,13.36,156.44,35.65,14.58296,117.15,38.94,106.74,46.1,30.05,10.51485,26.02,47.03,32.7,72.8,83.99,36.75,1
3/28/2014,77.33,47.16,12.61,159.91,35.27,14.10427,121.53,40.42,107.31,46.5,30.85,10.65347,24.51,47.8,31.76,76.26,85.97,38.95,1
4/4/2014,76.19,47.73,13.53,159.06,35.28,15.07874,118.26,41,108.51,48.81,30.75,11.91089,26.3,47.85,33.69,76.01,84.51,37.6,1
4/11/2014,77.85,46.39,13.05,160.71,35.78,14.31797,120.6,41.3,108.01,49.32,32.26,13.06931,24.6,47.81,34.25,75.68,83.07,37.35,1
4/18/2014,81.81,46.72,12.89,165.24,35.97,14.56586,124.08,41.16,107.41,50,33.4,13.59406,27,48.13,34.45,77.46,86.03,37.79,1
4/25/2014,80.23,45.5,12.98,162.49,37.1,14.48175,119.18,38.72,114.53,49.84,32.89,13.77228,27.5,47.23,34.5,79.16,83.9,39.04,1
5/2/2014,83.15,44.8,13.13,162.37,35.13,14.98848,121.15,39.31,117.6,48.34,32.5,13.61386,27,47.58,34.25,79.9,90.03,39,1
5/9/2014,82.56,43.68,12.92,163.81,35.39,14.4373,127.56,40.68,129.13,50.15,33.35,13.68317,27,48.61,33.1,78.59,91.91,39.5,1
5/16/2014,83.28,43.92,13.23,163.74,36.25,14.4373,127.02,42.31,124.1,50.24,33.02,14.35644,26.61,50.27,34,79.98,91.2,38.85,1
5/23/2014,83.57,44.66,12.77,168,37.19,14.67733,124.4,43.9,130.14,49.64,32.9,14.26733,26.6,49.87,33.12,79.87,93.6,39.88,1
5/30/2014,83.28,43.84,12.44,165.11,37.15,14.71289,122.04,42.3,134,47.93,32.71,14.39604,28.49,56,34.49,79.41,93.78,39.65,1
6/6/2014,87.03,45.43,13.17,169.51,37.39,14.9707,126.3,43.38,143.4,51.94,35.24,14.70297,29.1,56.5,34.48,85.39,93.8,39.29,1
6/13/2014,88.25,47.43,12.98,169.55,38.61,15.19295,124.09,41.55,147.09,52.5,34.87,14.79208,28.51,56.85,34.7,84.71,94.38,38.65,1
6/20/2014,86.53,47.25,12.71,170.68,39.66,15.4152,123.07,43.11,149.5,52.78,34.97,14.46535,29.08,57.13,34,88.91,96.45,38.69,1
6/27/2014,86.46,46.7,13.3,166.51,38.02,15.21073,122.8,42,151.96,51.1,34.42,14.71287,31,57.54,34.32,85.25,92.3,39.05,1
7/4/2014,89.04,47.33,13.37,167.5,39.37,15.73523,124.57,44.99,156.35,52.48,34.64,14.80198,32.66,57.9,35,88.36,94.2,39.56,1
7/11/2014,88.02,47.27,14.9,162.99,40.46,15.26407,121.06,44.81,150.76,52.39,33.28,15.69307,32.8,58.12,35.07,86.65,90.7,38.64,1
7/18/2014,92.65,46.79,15.44,166,41.3,15.24629,126.86,45.14,151.15,52.01,33.73,16.26733,32.5,58.5,37.7,91.87,92.24,38.59,1
7/25/2014,92.94,46.34,15.53,165.04,42.13,14.94403,125.61,47.15,144.7,54.39,34.78,16,32.5,59.18,35.28,90.48,90.19,38.61,1
8/1/2014,93.81,44.6,15.46,164.1,40.65,14.65955,123.83,47.24,148.55,53,33.58,15.72277,33,59.7,35,88.98,89.9,37.2,1
8/8/2014,93.5,44,15.21,164.84,41.56,14.91736,123.15,47.52,144.71,55.2,34.07,15.72277,32.41,59.2,35.65,89.26,90.9,37.9,1
8/15/2014,94.85,43.62,15.44,167.95,42.4,14.89958,123.62,47.15,147.6,56.82,33.97,15.74257,32.05,62.77,37,92,88.89,37.01,1
8/22/2014,96.87,45.34,15.71,170.26,42.82,15.0596,126.75,46.1,147.19,56.81,34.07,15.54455,32.5,63.46,37.2,92.9,91.77,36.95,1
8/29/2014,95.99,45.25,16.05,167.58,41.25,15.39742,126.55,47.49,149.34,56.3,35.52,15.50495,32.5,62.23,36.55,90.98,91.87,36.62,1
9/5/2014,96.01,45.25,17.18,176.37,40.14,15.54855,126.16,47.1,147.88,58.05,35.36,15.64356,32.82,66.93,35.46,96.8,91.7,35.95,1
9/12/2014,96.07,44.12,17.05,173.19,40.11,15.61966,125,46.91,139.62,55.64,34.71,15.31683,32.5,66.24,36.51,93.5,91.51,36.33,1
9/19/2014,92.01,43.86,17.12,173.45,39.57,15.56633,126,46.5,141.15,57.18,34.71,15.34653,32.51,65.24,36.51,87.95,89.38,35.86,1
9/26/2014,91.5,43.2,16.94,169.58,39.05,15.64634,123.69,44.22,140.48,56.92,33.7,15.32673,32.25,65.3,36.64,90.54,85.81,35.83,1
10/3/2014,94.33,42.57,16.74,174.41,39.2,15.1485,122.74,44.41,142.06,61.2,33.02,15.29703,31.95,66.38,36.15,90.93,84,35.38,1
10/10/2014,89.21,38.75,16.25,166.82,38.7,14.01058,120,43.63,141.58,60.94,32.84,16.0396,33,65.59,34.7,88.72,83.25,35.06,1
10/17/2014,91.96,39.09,16.28,167,39.51,13.96613,119.1,44.14,144.08,59.76,32.49,15.06931,31.5,64.79,34.45,92.58,82,35.38,1
10/24/2014,90.05,40.17,15.97,174.35,40.21,14.55287,124.35,44.61,150.06,64.06,30.14,15.67327,33.4,66.98,34.5,94.98,85.26,35.02,1
10/31/2014,86.71,42.2,16.44,180.81,39.6,14.74845,129.73,46.35,147.9,66.8,31.16,14.91089,33.99,68.39,34.56,91.9,86.3,34.51,1
11/7/2014,87.24,42.88,16.32,183.28,38.87,14.73956,131.35,46.4,150.53,65.63,30.81,15.19802,33.61,65.51,34.5,94.6,84.3,36.65,1
11/14/2014,87.47,41.31,15.7,178,37.97,14.84624,128.19,45.96,144.8,64.48,30.23,15,33.65,66.31,35,93.65,74.93,35.54,1
11/21/2014,87.55,42.32,16.43,181.04,39.28,15.29963,133.76,46.3,151,66.59,30.12,15.28713,33,66.15,34.2,95.55,81.1,35.98,1
11/28/2014,89.15,43,16.37,184.89,39.07,15.33519,132.64,45.49,152.38,63.01,29.78,15.54455,32.5,64.99,35.01,94.62,78.88,35.84,1
12/5/2014,87.16,41.78,16.14,182.5,37.7,14.66844,128.6,44.5,151.29,65.8,29.94,14.86139,31,64.1,32.73,92.97,78.01,35.36,1
12/12/2014,86.47,40.92,15.94,185.07,36.26,13.93057,123.66,43.85,149.65,64.9,29.01,15.32673,30.34,62.65,34.5,92.16,78.19,33.92,1
12/19/2014,92.39,40.49,15.8,187.75,39.66,13.89501,129.52,43.01,151.52,68.36,29.83,15.06931,31.31,63.53,34.92,91.51,81.81,34.3,1
12/26/2014,93.38,40.9,16.38,197.28,40.81,13.40606,129.45,42.09,153.83,67.93,31.19,15.0396,32.4,62,34.69,94.76,80.48,35.42,1
1/2/2015,91.61,40,16.15,191.15,39.71,13.04158,126.71,42.17,152.84,65.78,30.86,15.42574,32,59.87,34.99,91.24,79,34.05,1
1/9/2015,91.56,41.05,16.6,189.95,40.3,13.31717,126.91,42.23,154.17,67.26,29.85,14.86139,32.5,59.9,33.2,93.6,77.92,33.65,1
1/16/2015,89.2,39.09,16.6,193.58,39.34,12.2237,125.48,39.9,154.96,68.33,29.35,14.67327,32.29,59.46,34.5,97.21,78,35.2,1
1/23/2015,89.41,41,17.26,196.1,40.36,12.4015,128.5,40.44,165.64,67.9,30.08,14.92079,32.5,62.03,33.8,99.78,80.49,35.7,1
1/30/2015,88.9,40.04,16.02,195.65,38.05,11.82365,125.17,39.66,160.9,68.9,28.9,14.85149,31.9,61.02,33.2,99.11,76.06,34.5,1
2/6/2015,92.02,41.7,16.14,199.69,39.4,13.07713,129.17,45.12,172.8,71.16,32.2,14.71287,31.43,63.22,32.51,101.32,79.33,35.11,1
2/13/2015,92.34,41.7,16.36,197.11,40.54,13.03269,131.62,45.15,167.79,71.8,32.88,14.9901,31.71,63.97,32.56,99.24,80.1,35.66,1
2/20/2015,93.26,42.64,16.37,199.23,41.81,13.32605,134.41,46.81,175.3,70.87,35.68,14.71287,30.66,63.24,32.49,98.73,80.77,35.67,1
2/27/2015,94.85,45.93,15.96,204.59,41.82,13.48607,141.93,45.4,183.38,70.77,36.6,13.9703,31.4,63.22,32.01,101.1,80.78,37.3,1
